weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"Total Index Crimes Reported, 2012","Violent Crimes Reported, Total, 2012","Violent Crimes Reported, % of Total, 2012","Violent Crimes Reported, Rate per 100,000,  2012","Violent Crimes Reported, Murder, 2012","Violent Crimes Reported, Rape, 2012","Violent Crimes Reported, Robbery, 2012","Violent Crimes Reported, Aggravated Assault, 2012"
[object GeneralizedGeometry],38504,WALKER,22.4,72.1,Walker,[object GeneralizedGeometry],13295,Walker,2058,148,7.2,217.3,0,8,31,109
[object GeneralizedGeometry],52062,WALTON,19.9,72.9,Walton,[object GeneralizedGeometry],13297,Walton,2212,184,8.3,217.6,15,24,34,111
[object GeneralizedGeometry],34700,WARE,23.7,71.2,Ware,[object GeneralizedGeometry],13299,Ware,1787,146,8.2,407.6,3,7,44,92
[object GeneralizedGeometry],32155,WARREN,24.3,71.6,Warren,[object GeneralizedGeometry],13301,Warren,129,35,27.1,627.5,0,0,1,34
[object GeneralizedGeometry],31441,WASHINGTON,21.9,71.3,Washington,[object GeneralizedGeometry],13303,Washington,567,51,9,244.3,1,1,10,39
[object GeneralizedGeometry],36496,WAYNE,24.6,71.9,Wayne,[object GeneralizedGeometry],13305,Wayne,1832,201,11,663.3,8,6,24,163
[object GeneralizedGeometry],29926,WEBSTER,20.4,70,Webster,[object GeneralizedGeometry],13307,Webster,43,1,2.3,35.8,0,0,0,1
[object GeneralizedGeometry],27601,WHEELER,28.3,71.6,Wheeler,[object GeneralizedGeometry],13309,Wheeler,23,2,8.7,25.4,0,0,0,2
[object GeneralizedGeometry],40720,WHITE,16.9,75,White,[object GeneralizedGeometry],13311,White,718,52,7.2,188.7,2,6,2,42
[object GeneralizedGeometry],41832,WHITFIELD,19.4,74.1,Whitfield,[object GeneralizedGeometry],13313,Whitfield,3293,272,8.3,263.2,3,19,38,212
[object GeneralizedGeometry],31509,WILCOX,25.7,72.2,Wilcox,[object GeneralizedGeometry],13315,Wilcox,140,20,14.3,220.6,0,5,1,14
[object GeneralizedGeometry],28224,WILKES,26,71.2,Wilkes,[object GeneralizedGeometry],13317,Wilkes,234,53,22.6,526,1,1,1,50
[object GeneralizedGeometry],40331,WILKINSON,21.5,72.9,Wilkinson,[object GeneralizedGeometry],13319,Wilkinson,163,11,6.7,114.9,0,1,1,9
[object GeneralizedGeometry],39205,WORTH,23.9,72.9,Worth,[object GeneralizedGeometry],13321,Worth,668,56,8.4,257.6,2,1,7,46
